i_ms,vfilt_cps,duty
454,5839,600
455,5873,600
456,5917,600
457,5977,600
458,5951,600
459,6007,600
460,5931,600
461,5943,600
462,5920,600
463,5882,600
464,5855,600
465,5892,600
466,5954,600
467,5974,600
468,6021,600
469,5938,600
470,5944,600
471,5893,600
472,5900,600
473,5922,600
474,5953,600
475,5937,600
476,5957,600
477,5875,600
478,5856,600
479,5837,600
480,5805,600
481,5828,600
482,5861,600
483,5903,600
484,5897,600
485,5956,600
486,5900,600
487,5873,600
488,5848,600
489,5810,600
490,5810,600
491,5805,600
492,5854,600
493,5897,600
494,5954,600
495,5897,600
496,5920,600
497,5882,600
498,5834,600
499,5826,600
