label,duty,t,rpm,out
baseline,0.05,4673715,-0.0,0.0
baseline,0.05,4673725,-0.0,0.0
baseline,0.05,4673735,-0.0,0.0
baseline,0.05,4673745,-0.0,0.0
baseline,0.05,4673755,-0.0,0.0
baseline,0.05,4673765,-0.0,0.0
baseline,0.05,4673775,-0.0,0.0
baseline,0.05,4673785,-0.0,0.0
baseline,0.05,4673795,-0.0,0.0
baseline,0.05,4673805,-0.0,0.0
baseline,0.05,4673815,-0.0,0.0
baseline,0.05,4673825,-0.0,0.0
baseline,0.05,4673835,-0.0,0.0
baseline,0.05,4673845,-0.0,0.0
baseline,0.05,4673855,-0.0,0.0
baseline,0.05,4673865,-0.0,0.0
baseline,0.05,4673875,-0.0,0.0
baseline,0.05,4673885,-0.0,0.0
baseline,0.05,4673895,-0.0,0.0
baseline,0.05,4673905,-0.0,0.0
baseline,0.05,4673915,-0.0,0.0
baseline,0.05,4673925,-0.0,0.0
baseline,0.05,4673935,-0.0,0.0
baseline,0.05,4673945,-0.0,0.0
baseline,0.05,4673955,-0.0,0.0
baseline,0.05,4673965,-0.0,0.0
baseline,0.05,4673975,-0.0,0.0
baseline,0.05,4673985,-0.0,0.0
baseline,0.05,4673995,-0.0,0.0
baseline,0.05,4674005,-0.0,0.0
baseline,0.05,4674015,-0.0,0.0
baseline,0.05,4674025,-0.0,0.0
baseline,0.05,4674035,-0.0,0.0
baseline,0.05,4674045,-0.0,0.0
baseline,0.05,4674055,-0.0,0.0
baseline,0.05,4674065,-0.0,0.0
baseline,0.05,4674075,-0.0,0.0
baseline,0.05,4674085,-0.0,0.0
baseline,0.05,4674095,-0.0,0.0
baseline,0.05,4674105,-0.0,0.0
baseline,0.05,4674115,-0.0,0.0
baseline,0.05,4674125,-0.0,0.0
baseline,0.05,4674135,-0.0,0.0
baseline,0.05,4674145,-0.0,0.0
baseline,0.05,4674155,-0.0,0.0
baseline,0.05,4674165,-0.0,0.0
baseline,0.05,4674175,-0.0,0.0
baseline,0.05,4674185,-0.0,0.0
baseline,0.05,4674195,-0.0,0.0
baseline,0.05,4674205,-0.0,0.0
baseline,0.05,4674215,-0.0,0.0
baseline,0.05,4674225,-0.0,0.0
baseline,0.05,4674235,-0.0,0.0
baseline,0.05,4674245,-0.0,0.0
baseline,0.05,4674255,-0.0,0.0
baseline,0.05,4674265,-0.0,0.0
baseline,0.05,4674275,-0.0,0.0
baseline,0.05,4674285,-0.0,0.0
baseline,0.05,4674295,-0.0,0.0
baseline,0.05,4674305,-0.0,0.0
baseline,0.05,4674315,-0.0,0.0
baseline,0.05,4674325,-0.0,0.0
baseline,0.05,4674335,-0.0,0.0
baseline,0.05,4674345,-0.0,0.0
baseline,0.05,4674355,-0.0,0.0
baseline,0.05,4674365,-0.0,0.0
baseline,0.05,4674375,-0.0,0.0
baseline,0.05,4674385,-0.0,0.0
baseline,0.05,4674395,-0.0,0.0
baseline,0.05,4674405,-0.0,0.0
baseline,0.05,4674415,-0.0,0.0
baseline,0.05,4674425,-0.0,0.0
baseline,0.05,4674435,-0.0,0.0
baseline,0.05,4674445,-0.0,0.0
baseline,0.05,4674455,-0.0,0.0
baseline,0.05,4674465,-0.0,0.0
baseline,0.05,4674475,-0.0,0.0
baseline,0.05,4674485,-0.0,0.0
baseline,0.05,4674495,-0.0,0.0
baseline,0.05,4674505,-0.0,0.0
baseline,0.05,4674515,-0.0,0.0
baseline,0.05,4674525,-0.0,0.0
baseline,0.05,4674535,-0.0,0.0
baseline,0.05,4674545,-0.0,0.0
baseline,0.05,4674555,-0.0,0.0
baseline,0.05,4674565,-0.0,0.0
baseline,0.05,4674575,-0.0,0.0
baseline,0.05,4674585,-0.0,0.0
baseline,0.05,4674595,-0.0,0.0
baseline,0.05,4674605,-0.0,0.0
baseline,0.05,4674615,-0.0,0.0
baseline,0.05,4674625,-0.0,0.0
baseline,0.05,4674635,-0.0,0.0
baseline,0.05,4674645,-0.0,0.0
baseline,0.05,4674655,-0.0,0.0
