label,sp,t,rpm,rpm_sp,out
baseline,80.0,4734755,31.66,80.0,0.0631
baseline,80.0,4734765,31.66,80.0,0.0678
baseline,80.0,4734775,26.07,80.0,0.0815
baseline,80.0,4734785,24.69,80.0,0.0895
baseline,80.0,4734795,37.52,80.0,0.0756
baseline,80.0,4734805,43.79,80.0,0.071
baseline,80.0,4734815,55.4,80.0,0.0578
baseline,80.0,4734825,85.4,80.0,0.0148
baseline,80.0,4734835,111.23,80.0,-0.0245
baseline,80.0,4734845,128.42,80.0,-0.0531
baseline,80.0,4734855,96.04,80.0,-0.006
baseline,80.0,4734865,70.41,80.0,0.0344
baseline,80.0,4734875,61.1,80.0,0.0521
baseline,80.0,4734885,64.44,80.0,0.0511
baseline,80.0,4734895,60.31,80.0,0.0616
baseline,80.0,4734905,53.51,80.0,0.0769
baseline,80.0,4734915,53.18,80.0,0.0818
baseline,80.0,4734925,56.45,80.0,0.0794
baseline,80.0,4734935,57.76,80.0,0.0799
baseline,80.0,4734945,69.04,80.0,0.0646
baseline,80.0,4734955,95.13,80.0,0.0254
baseline,80.0,4734965,123.21,80.0,-0.0197
baseline,80.0,4734975,134.8,80.0,-0.0423
baseline,80.0,4734985,100.25,80.0,0.0058
baseline,80.0,4734995,83.45,80.0,0.0302
baseline,80.0,4735005,85.19,80.0,0.0273
baseline,80.0,4735015,75.62,80.0,0.0414
baseline,80.0,4735025,63.14,80.0,0.0614
baseline,80.0,4735035,67.69,80.0,0.056
baseline,80.0,4735045,67.79,80.0,0.0573
baseline,80.0,4735055,68.18,80.0,0.0579
baseline,80.0,4735065,69.8,80.0,0.0567
baseline,80.0,4735075,91.33,80.0,0.0245
baseline,80.0,4735085,120.06,80.0,-0.0212
baseline,80.0,4735095,132.66,80.0,-0.0452
baseline,80.0,4735105,94.46,80.0,0.0086
baseline,80.0,4735115,64.41,80.0,0.0542
baseline,80.0,4735125,65.85,80.0,0.0536
baseline,80.0,4735135,68.74,80.0,0.0503
baseline,80.0,4735145,52.95,80.0,0.0759
baseline,80.0,4735155,47.19,80.0,0.0876
baseline,80.0,4735165,51.58,80.0,0.0839
baseline,80.0,4735175,49.58,80.0,0.0897
baseline,80.0,4735185,54.05,80.0,0.0859
baseline,80.0,4735195,67.36,80.0,0.0678
baseline,80.0,4735205,84.12,80.0,0.043
baseline,80.0,4735215,115.21,80.0,-0.0058
baseline,80.0,4735225,139.53,80.0,-0.0473
baseline,80.0,4735235,126.35,80.0,-0.0332
baseline,80.0,4735245,91.16,80.0,0.017
baseline,80.0,4735255,68.39,80.0,0.0517
baseline,80.0,4735265,70.65,80.0,0.0496
baseline,80.0,4735275,65.87,80.0,0.0577
baseline,80.0,4735285,55.09,80.0,0.076
baseline,80.0,4735295,46.68,80.0,0.0917
baseline,80.0,4735305,55.06,80.0,0.0821
baseline,80.0,4735315,72.65,80.0,0.0573
baseline,80.0,4735325,89.42,80.0,0.0319
baseline,80.0,4735335,114.05,80.0,-0.0074
baseline,80.0,4735345,135.03,80.0,-0.0436
baseline,80.0,4735355,109.38,80.0,-0.0097
baseline,80.0,4735365,76.79,80.0,0.0383
baseline,80.0,4735375,80.99,80.0,0.0323
baseline,80.0,4735385,81.54,80.0,0.0311
baseline,80.0,4735395,66.13,80.0,0.055
baseline,80.0,4735405,57.41,80.0,0.0703
baseline,80.0,4735415,57.72,80.0,0.0721
baseline,80.0,4735425,55.96,80.0,0.0769
baseline,80.0,4735435,60.44,80.0,0.0726
baseline,80.0,4735445,89.29,80.0,0.0297
baseline,80.0,4735455,117.08,80.0,-0.0144
baseline,80.0,4735465,132.27,80.0,-0.0418
baseline,80.0,4735475,118.7,80.0,-0.0265
baseline,80.0,4735485,82.11,80.0,0.0263
baseline,80.0,4735495,56.9,80.0,0.0653
baseline,80.0,4735505,64.37,80.0,0.0561
baseline,80.0,4735515,69.05,80.0,0.0502
baseline,80.0,4735525,55.07,80.0,0.073
baseline,80.0,4735535,54.39,80.0,0.0768
baseline,80.0,4735545,63.31,80.0,0.0653
baseline,80.0,4735555,49.52,80.0,0.0884
baseline,80.0,4735565,56.28,80.0,0.0811
baseline,80.0,4735575,84.0,80.0,0.0404
baseline,80.0,4735585,118.36,80.0,-0.0136
baseline,80.0,4735595,142.4,80.0,-0.0551
baseline,80.0,4735605,113.35,80.0,-0.0166
baseline,80.0,4735615,81.13,80.0,0.0303
baseline,80.0,4735625,63.71,80.0,0.0573
baseline,80.0,4735635,69.63,80.0,0.0497
baseline,80.0,4735645,60.75,80.0,0.0643
