t,rpm,out,rpm_sp
5374160,101.71,0.0643,120.0
5374170,112.95,0.0487,120.0
5374180,98.12,0.0724,120.0
5374190,85.93,0.0939,120.0
5374200,125.14,0.0367,120.0
5374210,168.27,-0.0311,120.0
5374220,172.65,-0.0433,120.0
5374230,124.7,0.0257,120.0
5374240,89.6,0.08,120.0
5374250,100.86,0.0658,120.0
5374260,101.56,0.0666,120.0
5374270,83.98,0.0958,120.0
5374280,86.66,0.0956,120.0
5374290,142.49,0.0124,120.0
5374300,181.44,-0.0507,120.0
5374310,155.73,-0.0175,120.0
5374320,110.54,0.0494,120.0
5374330,96.84,0.0722,120.0
5374340,98.94,0.0713,120.0
5374350,92.32,0.0837,120.0
5374360,97.73,0.0784,120.0
5374370,133.43,0.0253,120.0
5374380,168.17,-0.0301,120.0
5374390,166.38,-0.0326,120.0
5374400,120.3,0.0343,120.0
5374410,103.15,0.0614,120.0
5374420,112.23,0.0491,120.0
5374430,100.55,0.0678,120.0
5374440,96.58,0.0761,120.0
5374450,110.21,0.0573,120.0
5374460,148.87,-0.0018,120.0
5374470,169.52,-0.0371,120.0
5374480,133.98,0.0128,120.0
5374490,89.76,0.0804,120.0
5374500,94.47,0.0764,120.0
5374510,94.52,0.0787,120.0
5374520,87.44,0.0924,120.0
5374530,99.98,0.0761,120.0
5374540,125.37,0.0388,120.0
5374550,170.39,-0.0317,120.0
5374560,175.0,-0.0446,120.0
5374570,119.74,0.0357,120.0
5374580,89.24,0.0835,120.0
5374590,96.48,0.0754,120.0
5374600,93.14,0.0828,120.0
5374610,95.01,0.0828,120.0
5374620,120.3,0.0463,120.0
5374630,162.25,-0.019,120.0
5374640,174.19,-0.0425,120.0
5374650,119.52,0.0369,120.0
5374660,99.07,0.0693,120.0
5374670,110.48,0.0534,120.0
5374680,100.04,0.0703,120.0
5374690,84.08,0.0975,120.0
5374700,123.3,0.0406,120.0
5374710,166.92,-0.0277,120.0
5374720,175.59,-0.0463,120.0
5374730,128.09,0.0218,120.0
5374740,90.47,0.0797,120.0
5374750,101.25,0.0662,120.0
5374760,99.3,0.0708,120.0
5374770,84.32,0.0959,120.0
5374780,87.0,0.0957,120.0
5374790,136.37,0.0226,120.0
5374800,183.91,-0.0533,120.0
5374810,162.97,-0.0275,120.0
5374820,110.66,0.0498,120.0
5374830,95.52,0.0746,120.0
5374840,100.56,0.0693,120.0
5374850,93.05,0.0829,120.0
5374860,97.42,0.0791,120.0
5374870,131.69,0.0283,120.0
5374880,167.49,-0.0285,120.0
5374890,171.1,-0.0393,120.0
5374900,119.89,0.0352,120.0
5374910,102.5,0.0626,120.0
5374920,111.88,0.0499,120.0
5374930,103.15,0.0641,120.0
5374940,94.96,0.0787,120.0
5374950,112.74,0.0538,120.0
5374960,149.81,-0.0031,120.0
5374970,169.26,-0.0367,120.0
5374980,129.22,0.0202,120.0
5374990,90.35,0.0799,120.0
5375000,96.36,0.0737,120.0
5375010,94.56,0.0787,120.0
5375020,85.27,0.0958,120.0
5375030,102.67,0.0723,120.0
5375040,123.69,0.0415,120.0
5375050,169.53,-0.0302,120.0
5375060,175.71,-0.0453,120.0
5375070,119.96,0.0357,120.0
5375080,91.86,0.0798,120.0
5375090,96.17,0.0761,120.0
5375100,92.98,0.0833,120.0
5375110,94.26,0.0842,120.0
5375120,117.66,0.0507,120.0
5375130,160.8,-0.0163,120.0
5375140,176.72,-0.0458,120.0
5375150,120.29,0.0361,120.0
5375160,100.24,0.0679,120.0
5375170,114.51,0.0476,120.0
5375180,98.96,0.0721,120.0
5375190,83.36,0.0988,120.0
5375200,121.62,0.0435,120.0
5375210,168.49,-0.0296,120.0
5375220,175.81,-0.0463,120.0
5375230,128.65,0.0213,120.0
5375240,91.31,0.0788,120.0
5375250,102.01,0.0654,120.0
5375260,101.98,0.0669,120.0
5375270,86.26,0.0932,120.0
5375280,85.85,0.0976,120.0
5375290,136.02,0.0234,120.0
5375300,181.76,-0.0497,120.0
5375310,160.11,-0.0228,120.0
5375320,111.44,0.049,120.0
5375330,96.2,0.074,120.0
5375340,100.34,0.0699,120.0
5375350,92.77,0.0836,120.0
5375360,95.39,0.0826,120.0
5375370,130.31,0.0309,120.0
5375380,166.84,-0.027,120.0
5375390,173.67,-0.0427,120.0
5375400,121.68,0.0327,120.0
5375410,100.33,0.066,120.0
5375420,111.03,0.0514,120.0
5375430,104.29,0.0625,120.0
5375440,94.38,0.0795,120.0
5375450,109.21,0.0591,120.0
5375460,150.91,-0.0047,120.0
5375470,171.13,-0.0397,120.0
5375480,130.9,0.0175,120.0
5375490,89.83,0.0806,120.0
5375500,97.12,0.0723,120.0
5375510,94.08,0.0791,120.0
5375520,88.78,0.0902,120.0
5375530,101.12,0.0742,120.0
5375540,127.39,0.0354,120.0
5375550,170.28,-0.0322,120.0
5375560,172.66,-0.0415,120.0
5375570,119.4,0.0359,120.0
5375580,92.04,0.079,120.0
5375590,94.62,0.0777,120.0
5375600,95.14,0.0794,120.0
5375610,95.85,0.081,120.0
5375620,123.17,0.0413,120.0
5375630,165.85,-0.0253,120.0
5375640,172.67,-0.0413,120.0
5375650,114.39,0.0439,120.0
5375660,102.49,0.0635,120.0
5375670,115.15,0.0455,120.0
5375680,95.82,0.076,120.0
5375690,84.52,0.0962,120.0
5375700,126.48,0.0348,120.0
5375710,169.42,-0.0327,120.0
5375720,173.38,-0.0444,120.0
5375730,124.47,0.0263,120.0
5375740,90.62,0.0789,120.0
5375750,103.09,0.0627,120.0
5375760,100.36,0.0683,120.0
5375770,85.76,0.093,120.0
5375780,87.58,0.094,120.0
5375790,141.84,0.013,120.0
5375800,185.42,-0.0573,120.0
5375810,153.11,-0.0141,120.0
5375820,108.27,0.0526,120.0
5375830,99.81,0.0673,120.0
5375840,97.03,0.0737,120.0
5375850,90.48,0.086,120.0
5375860,98.56,0.0766,120.0
5375870,135.63,0.0212,120.0
5375880,168.84,-0.0319,120.0
5375890,169.08,-0.0377,120.0
5375900,116.69,0.0388,120.0
5375910,102.7,0.0614,120.0
5375920,113.41,0.0465,120.0
5375930,98.29,0.0704,120.0
5375940,96.99,0.0746,120.0
5375950,115.63,0.0482,120.0
5375960,154.29,-0.0116,120.0
5375970,167.11,-0.0355,120.0
5375980,122.77,0.0284,120.0
5375990,89.72,0.0799,120.0
5376000,99.64,0.0676,120.0
5376010,90.9,0.083,120.0
5376020,87.48,0.0914,120.0
5376030,104.75,0.0678,120.0
5376040,132.08,0.0272,120.0
5376050,171.19,-0.035,120.0
5376060,168.27,-0.0362,120.0
5376070,115.09,0.0417,120.0
5376080,91.33,0.0797,120.0
5376090,98.58,0.0712,120.0
5376100,91.54,0.0842,120.0
5376110,94.15,0.0832,120.0
5376120,126.19,0.0362,120.0
5376130,167.93,-0.0294,120.0
5376140,169.62,-0.0375,120.0
5376150,113.85,0.0444,120.0
5376160,104.82,0.0596,120.0
5376170,112.79,0.0486,120.0
5376180,95.49,0.0762,120.0
5376190,85.33,0.0948,120.0
5376200,126.46,0.0346,120.0
5376210,168.67,-0.032,120.0
5376220,171.27,-0.0414,120.0
5376230,123.31,0.0279,120.0
5376240,90.08,0.0797,120.0
5376250,105.07,0.0596,120.0
5376260,99.81,0.0691,120.0
5376270,83.07,0.0971,120.0
5376280,90.26,0.0899,120.0
5376290,142.5,0.0118,120.0
5376300,181.45,-0.0513,120.0
5376310,151.52,-0.0115,120.0
5376320,106.31,0.0557,120.0
5376330,98.78,0.0691,120.0
5376340,100.69,0.0682,120.0
5376350,92.27,0.0831,120.0
5376360,98.87,0.0759,120.0
5376370,136.24,0.0201,120.0
5376380,168.63,-0.0319,120.0
5376390,164.82,-0.0316,120.0
5376400,112.04,0.0458,120.0
5376410,103.07,0.0609,120.0
5376420,115.37,0.0434,120.0
5376430,96.7,0.0726,120.0
5376440,96.88,0.0748,120.0
5376450,115.67,0.0481,120.0
5376460,154.31,-0.0116,120.0
5376470,167.11,-0.0355,120.0
5376480,123.87,0.0269,120.0
5376490,91.84,0.0769,120.0
5376500,100.53,0.0663,120.0
5376510,91.03,0.0828,120.0
5376520,87.0,0.0921,120.0
5376530,105.01,0.0674,120.0
5376540,131.6,0.0279,120.0
5376550,170.51,-0.034,120.0
5376560,168.39,-0.0364,120.0
5376570,112.22,0.0461,120.0
5376580,91.95,0.0788,120.0
5376590,101.55,0.0667,120.0
5376600,90.89,0.0851,120.0
5376610,93.43,0.0842,120.0
5376620,125.04,0.0378,120.0
5376630,170.28,-0.0331,120.0
5376640,167.33,-0.0343,120.0
5376650,112.97,0.0456,120.0
5376660,104.29,0.0604,120.0
5376670,114.4,0.046,120.0
5376680,95.27,0.0762,120.0
5376690,83.65,0.0969,120.0
5376700,129.91,0.0288,120.0
5376710,169.99,-0.0348,120.0
5376720,168.35,-0.0378,120.0
5376730,120.85,0.0311,120.0
5376740,89.51,0.0802,120.0
5376750,107.19,0.0559,120.0
5376760,98.21,0.0711,120.0
5376770,84.67,0.0942,120.0
5376780,90.75,0.0886,120.0
5376790,147.08,0.0041,120.0
5376800,181.74,-0.0529,120.0
5376810,147.11,-0.0059,120.0
5376820,104.22,0.0584,120.0
5376830,100.51,0.066,120.0
5376840,103.15,0.0638,120.0
5376850,91.05,0.0843,120.0
5376860,102.34,0.07,120.0
5376870,136.61,0.0187,120.0
5376880,169.69,-0.0346,120.0
5376890,163.52,-0.0307,120.0
5376900,112.48,0.0445,120.0
5376910,105.55,0.0565,120.0
5376920,111.26,0.049,120.0
5376930,95.8,0.0736,120.0
5376940,98.63,0.0717,120.0
5376950,118.87,0.0426,120.0
5376960,155.29,-0.0139,120.0
5376970,165.26,-0.0334,120.0
5376980,121.4,0.0301,120.0
5376990,90.64,0.0783,120.0
5377000,102.37,0.0631,120.0
5377010,89.26,0.085,120.0
5377020,89.47,0.088,120.0
5377030,103.21,0.0697,120.0
5377040,132.3,0.0263,120.0
5377050,172.57,-0.0378,120.0
5377060,164.01,-0.0305,120.0
5377070,110.58,0.0481,120.0
5377080,93.19,0.0764,120.0
5377090,100.08,0.0684,120.0
5377100,89.74,0.0864,120.0
5377110,95.04,0.0813,120.0
5377120,125.76,0.0362,120.0
5377130,169.09,-0.032,120.0
5377140,167.81,-0.0356,120.0
5377150,110.58,0.0487,120.0
5377160,102.47,0.0626,120.0
5377170,113.91,0.0464,120.0
5377180,94.94,0.0763,120.0
5377190,86.48,0.0923,120.0
5377200,131.13,0.0264,120.0
5377210,170.9,-0.0367,120.0
5377220,168.78,-0.039,120.0
5377230,119.68,0.0325,120.0
5377240,90.26,0.0788,120.0
5377250,106.19,0.0571,120.0
5377260,97.9,0.0712,120.0
5377270,85.24,0.0931,120.0
5377280,93.07,0.0847,120.0
5377290,145.52,0.006,120.0
5377300,183.99,-0.0567,120.0
5377310,144.33,-0.0019,120.0
5377320,105.44,0.0563,120.0
5377330,100.63,0.0656,120.0
5377340,103.75,0.0626,120.0
5377350,88.38,0.0881,120.0
5377360,102.12,0.07,120.0
5377370,136.83,0.0177,120.0
5377380,172.11,-0.039,120.0
5377390,160.67,-0.0269,120.0
5377400,112.0,0.0449,120.0
5377410,102.73,0.0605,120.0
5377420,114.71,0.0435,120.0
5377430,95.11,0.0743,120.0
5377440,98.41,0.0717,120.0
5377450,118.71,0.0426,120.0
5377460,155.94,-0.0151,120.0
5377470,164.59,-0.0328,120.0
5377480,117.94,0.035,120.0
5377490,91.59,0.0766,120.0
5377500,102.14,0.0631,120.0
5377510,90.48,0.083,120.0
5377520,89.95,0.087,120.0
5377530,103.73,0.0687,120.0
5377540,135.68,0.0209,120.0
5377550,174.67,-0.0414,120.0
5377560,162.82,-0.0291,120.0
5377570,111.38,0.0467,120.0
5377580,90.73,0.0799,120.0
5377590,98.08,0.0713,120.0
5377600,88.16,0.0887,120.0
5377610,96.89,0.0784,120.0
5377620,129.34,0.0305,120.0
5377630,171.21,-0.0356,120.0
5377640,165.78,-0.033,120.0
5377650,112.15,0.0462,120.0
5377660,104.04,0.0601,120.0
5377670,114.01,0.0459,120.0
5377680,96.8,0.0734,120.0
5377690,87.61,0.0904,120.0
5377700,131.34,0.0258,120.0
5377710,170.97,-0.037,120.0
5377720,166.24,-0.0354,120.0
5377730,117.29,0.0359,120.0
5377740,88.04,0.0819,120.0
5377750,105.51,0.058,120.0
5377760,99.36,0.0689,120.0
5377770,82.94,0.0964,120.0
5377780,91.99,0.0862,120.0
5377790,149.2,0.0002,120.0
5377800,182.89,-0.0555,120.0
5377810,144.99,-0.0032,120.0
5377820,103.64,0.0589,120.0
5377830,99.24,0.0675,120.0
5377840,104.94,0.0606,120.0
5377850,90.11,0.0853,120.0
5377860,103.0,0.0685,120.0
5377870,140.45,0.012,120.0
5377880,171.9,-0.039,120.0
5377890,157.96,-0.0231,120.0
5377900,110.96,0.0464,120.0
5377910,105.09,0.0568,120.0
5377920,112.09,0.0472,120.0
5377930,97.13,0.0711,120.0
5377940,98.17,0.0721,120.0
5377950,117.64,0.0441,120.0
5377960,156.66,-0.0164,120.0
5377970,165.53,-0.0344,120.0
5377980,120.19,0.0315,120.0
5377990,87.59,0.0826,120.0
5378000,102.03,0.0633,120.0
5378010,89.15,0.0849,120.0
5378020,87.09,0.0914,120.0
5378030,104.19,0.068,120.0
5378040,135.06,0.0218,120.0
5378050,171.91,-0.0372,120.0
5378060,161.6,-0.027,120.0
5378070,113.05,0.0443,120.0
5378080,92.44,0.0775,120.0
5378090,98.78,0.0703,120.0
5378100,89.34,0.087,120.0
5378110,98.21,0.0765,120.0
5378120,127.52,0.0334,120.0
5378130,169.26,-0.0325,120.0
5378140,165.98,-0.033,120.0
5378150,111.23,0.0478,120.0
5378160,104.91,0.0589,120.0
5378170,113.13,0.0475,120.0
5378180,95.4,0.0757,120.0
5378190,86.86,0.0917,120.0
5378200,129.92,0.0282,120.0
5378210,172.51,-0.0392,120.0
5378220,166.39,-0.0354,120.0
5378230,121.3,0.0302,120.0
